GB 18030 码位	UCS 码位	字符	注释
0x919F	U+61BB	憻
0x91A5	U+61C3	懃
0x91B1	U+61D5	懕
0x91B7	U+61DB	懛
0x91C9	U+61EE	懮
0x91CA	U+61EF	懯
0x91DC	U+6203	戃
0x91DD	U+6204	戄
0x91DF	U+6207	戇
0x93B3	U+646E	摮
0x93C4	U+6483	撃
0x93C7	U+6489	撉
0x93EF	U+64C4	擄
0x93F4	U+64CA	擊
0x9445	U+64E1	擡
0x944B	U+64EA	擪
0x945F	U+64FE	擾
0x9464	U+6504	攄
0x946D	U+650E	攎
0x9476	U+6519	攙
0x947C	U+651F	攟
0x947E	U+6521	攡
0x9481	U+6523	攣
0x9486	U+6529	攩
0x9487	U+652A	攪
0x9488	U+652C	攬
0x94B8	U+657B	敻
0x94CD	U+6596	斖
0x94E1	U+65B8	斸
0x94F6	U+65DC	旜
0x9583	U+665D	晝
0x959E	U+6688	暈
0x95B1	U+66A0	暠
0x95D2	U+66C7	曇
0x95E6	U+66DF	曟
0x95E8	U+66E1	曡
0x95EC	U+66E5	曥
0x95F2	U+66ED	曭
0x95F4	U+66EF	曯
0x995E	U+6A7F	橿
0x9961	U+6A83	檃
0x9985	U+6AAF	檯
0x9995	U+6ABF	檿
0x9999	U+6AC3	櫃
0x99A1	U+6ACB	櫋
0x99A2	U+6ACC	櫌
0x99AC	U+6AD6	櫖
0x99B2	U+6ADC	櫜
0x99B3	U+6ADD	櫝
0x99BE	U+6AE8	櫨
0x99D3	U+6AFD	櫽
0x99D9	U+6B03	欃
0x99E2	U+6B0C	欌
0x99E9	U+6B13	欓
0x99EA	U+6B14	欔
0x99EC	U+6B16	欖
0x99ED	U+6B17	欗
0x99EE	U+6B18	欘
0x99EF	U+6B19	欙
0x99F1	U+6B1B	欛
0x99F2	U+6B1C	欜
0x99F3	U+6B1D	欝
0x9A99	U+6BAD	殭
0x9A9C	U+6BB0	殰
0x9AAE	U+6BCA	毊
0x9AB4	U+6BDA	毚
0x9AD6	U+6C08	氈
0x9AD8	U+6C0A	氊
0x9ADB	U+6C0E	氎
0x9AE7	U+6C31	氱
0x9DB1	U+6F85	澅
0x9DC4	U+6F9E	澞
0x9DE4	U+6FC5	濅
0x9E56	U+6FFE	濾
0x9E58	U+7000	瀀
0x9E5E	U+7006	瀆
0x9E6F	U+7018	瀘
0x9E85	U+7030	瀰
0x9E8D	U+703A	瀺
0x9E9E	U+704B	灋
0x9EA0	U+704E	灎
0x9EA8	U+7057	灗
0x9EAA	U+7059	灙
0x9EAB	U+705A	灚
0x9EAD	U+705C	灜
0x9EAF	U+705F	灟
0x9EB0	U+7060	灠
0x9EB1	U+7061	灡
0x9EB2	U+7062	灢
0x9EB3	U+7063	灣
0x9EB5	U+7065	灥
0x9EB7	U+7067	灧
0x9EB8	U+7068	灨
0x9EB9	U+7069	灩
0x9EBA	U+706A	灪
0xA063	U+71FE	燾
