GB 18030 码位	UCS 码位	字符	注释
0xCC8A	U+864B	虋
0xF347	U+9A61	驡
0xF458	U+9B24	鬤
0xFB54	U+9E17	鸗
0xFB97	U+9EA0	麠
0xFD5F	U+9F59	齙
0xFD69	U+9F63	齣
0xFD6B	U+9F65	齥
0xFD6C	U+9F66	齦
0xFD6E	U+9F68	齨
0xFD6F	U+9F69	齩
0xFD70	U+9F6A	齪
0xFD71	U+9F6B	齫
0xFD72	U+9F6C	齬
0xFD73	U+9F6D	齭
0xFD74	U+9F6E	齮
0xFD75	U+9F6F	齯
0xFD76	U+9F70	齰
0xFD77	U+9F71	齱
0xFD78	U+9F72	齲
0xFD79	U+9F73	齳
0xFD7A	U+9F74	齴
0xFD7B	U+9F75	齵
0xFD7C	U+9F76	齶
0xFD7D	U+9F77	齷
0xFD7E	U+9F78	齸
0xFD81	U+9F7A	齺
0xFD82	U+9F7B	齻
0xFD83	U+9F7C	齼
0xFD84	U+9F7D	齽
0xFD85	U+9F7E	齾
0xFD93	U+9F98	龘
0x8234AE31	U+4A3A	䨺
0x8234AE32	U+4A3B	䨻
0x8234DC39	U+4C0E	䰎
0x8234DD33	U+4C12	䰒
0x8234DD34	U+4C13	䰓
0x8234DD36	U+4C15	䰕
0x8234DD37	U+4C16	䰖
0x82358436	U+4D94	䶔
0x82358437	U+4D95	䶕
0x82358438	U+4D96	䶖
0x82358439	U+4D97	䶗
0x82358530	U+4D98	䶘
0x82358531	U+4D99	䶙
0x82358532	U+4D9A	䶚
0x82358534	U+4D9C	䶜
0x82358535	U+4D9D	䶝
0x82358536	U+4D9E	䶞
0x82358537	U+4D9F	䶟
0x82358539	U+4DA1	䶡
0x82358630	U+4DA2	䶢
0x82358631	U+4DA3	䶣
0x82358632	U+4DA4	䶤
0x82358633	U+4DA5	䶥
0x82358634	U+4DA6	䶦
0x82358635	U+4DA7	䶧
0x82358636	U+4DA8	䶨
0x82358637	U+4DA9	䶩
0x82358638	U+4DAA	䶪
0x82358639	U+4DAB	䶫
0x9532F433	U+20471	𠑱
0x9532F436	U+20474	𠑴
0x95338A35	U+2053B	𠔻
0x9535CA35	U+21193	𡆓
0x9536AB37	U+2154B	𡕋	与实际字形不符。
0x9539B639	U+2247F	𢑿
0x9631E736	U+2303E	𣀾
0x9631E738	U+23040	𣁀
0x9633B133	U+237F7	𣟷
0x9633BA38	U+23856	𣡖
0x9633BC34	U+23866	𣡦
0x9633BC38	U+2386A	𣡪
0x9635A831	U+24173	𤅳
0x96368C35	U+2454B	𤕋
0x9637B536	U+24BD2	𤯒
0x97318139	U+25D7D	𥵽
0x9732A839	U+263EF	𦏯
0x9733BF32	U+269BA	𦦺
0x9733BF36	U+269BE	𦦾
0x9733C033	U+269C5	𦧅
0x97358934	U+27178	𧅸
0x97358C30	U+27192	𧆒
0x9736D531	U+27959	𧥙
0x97378F38	U+27B90	𧮐
0x9737AA38	U+27C9E	𧲞
0x9738B730	U+28204	𨈄
0x9738E936	U+283FE	𨏾
0x9738EA31	U+28403	𨐃
0x9830BF39	U+28C35	𨰵
0x9831CE36	U+291B4	𩆴
0x9831D038	U+291CA	𩇊
0x9831D135	U+291D1	𩇑
0x9831D137	U+291D3	𩇓
0x9831D138	U+291D4	𩇔
0x98328D36	U+29416	𩐖
0x9832B139	U+29581	𩖁
0x9832C832	U+29660	𩙠
0x9833A433	U+299E5	𩧥
0x9833B738	U+29AA8	𩪨
0x9833BC38	U+29ADA	𩫚
0x9833BD32	U+29ADE	𩫞
0x9833D636	U+29BDC	𩯜
0x9833D734	U+29BE4	𩯤
0x9833D736	U+29BE6	𩯦
0x9833D833	U+29BED	𩯭
0x9833D835	U+29BEF	𩯯
0x9833D837	U+29BF1	𩯱
0x9833D839	U+29BF3	𩯳
0x9833D930	U+29BF4	𩯴
0x9833D938	U+29BFC	𩯼
0x9833DA31	U+29BFF	𩯿
0x9833DA35	U+29C03	𩰃
0x9833DB31	U+29C09	𩰉
0x9833E630	U+29C76	𩱶
0x9834F137	U+2A1D7	𪇗
0x9834F838	U+2A21E	𪈞
0x9834FB39	U+2A23D	𪈽
0x98358E32	U+2A2E0	𪋠
0x98358E37	U+2A2E5	𪋥
0x98358F34	U+2A2EC	𪋬
0x98359037	U+2A2F9	𪋹
0x98359E34	U+2A382	𪎂
0x9835AD31	U+2A415	𪐕
0x9835DA32	U+2A5D8	𪗘
0x9835DA35	U+2A5DB	𪗛
0x9835DA36	U+2A5DC	𪗜
0x9835DA37	U+2A5DD	𪗝
0x9835DA38	U+2A5DE	𪗞
0x9835DA39	U+2A5DF	𪗟
0x9835DB32	U+2A5E2	𪗢
0x9835DB35	U+2A5E5	𪗥
0x9835DB37	U+2A5E7	𪗧
0x9835DC31	U+2A5EB	𪗫
0x9835DC34	U+2A5EE	𪗮
0x9835DC35	U+2A5EF	𪗯
0x9835DC36	U+2A5F0	𪗰
0x9835DD30	U+2A5F4	𪗴
0x9835DD31	U+2A5F5	𪗵
0x9835DD33	U+2A5F7	𪗷
0x9835DD34	U+2A5F8	𪗸
0x9835DD35	U+2A5F9	𪗹
0x9835DD36	U+2A5FA	𪗺
0x9835DD37	U+2A5FB	𪗻
0x9835DD38	U+2A5FC	𪗼
0x9835DD39	U+2A5FD	𪗽
0x9835DE30	U+2A5FE	𪗾
0x9835DE31	U+2A5FF	𪗿
0x9835DE32	U+2A600	𪘀
0x9835DE33	U+2A601	𪘁
0x9835DE35	U+2A603	𪘃
0x9835DE36	U+2A604	𪘄
0x9835DE38	U+2A606	𪘆
0x9835DE39	U+2A607	𪘇
0x9835DF30	U+2A608	𪘈
0x9835DF31	U+2A609	𪘉
0x9835DF32	U+2A60A	𪘊
0x9835DF33	U+2A60B	𪘋
0x9835DF34	U+2A60C	𪘌
0x9835DF35	U+2A60D	𪘍
0x9835DF36	U+2A60E	𪘎
0x9835DF38	U+2A610	𪘐
0x9835DF39	U+2A611	𪘑
0x9835E030	U+2A612	𪘒
0x9835E034	U+2A616	𪘖
0x9835E037	U+2A619	𪘙
0x9835E039	U+2A61B	𪘛
0x9835E130	U+2A61C	𪘜
0x9835E131	U+2A61D	𪘝
0x9835E132	U+2A61E	𪘞
0x9835E133	U+2A61F	𪘟
0x9835E134	U+2A620	𪘠
0x9835E135	U+2A621	𪘡
0x9835E136	U+2A622	𪘢
0x9835E137	U+2A623	𪘣
0x9835E138	U+2A624	𪘤
0x9835E231	U+2A627	𪘧
0x9835E232	U+2A628	𪘨
0x9835E233	U+2A629	𪘩
0x9835E234	U+2A62A	𪘪
0x9835E235	U+2A62B	𪘫
0x9835E236	U+2A62C	𪘬
0x9835E238	U+2A62E	𪘮
0x9835E330	U+2A630	𪘰
0x9835E331	U+2A631	𪘱
0x9835E332	U+2A632	𪘲
0x9835E333	U+2A633	𪘳
0x9835E334	U+2A634	𪘴
0x9835E335	U+2A635	𪘵
0x9835E336	U+2A636	𪘶
0x9835E339	U+2A639	𪘹
0x9835E430	U+2A63A	𪘺
0x9835E433	U+2A63D	𪘽
0x9835E434	U+2A63E	𪘾
0x9835E435	U+2A63F	𪘿
0x9835E436	U+2A640	𪙀
0x9835E437	U+2A641	𪙁
0x9835E438	U+2A642	𪙂
0x9835E439	U+2A643	𪙃
0x9835E531	U+2A645	𪙅
0x9835E532	U+2A646	𪙆
0x9835E533	U+2A647	𪙇
0x9835E535	U+2A649	𪙉
0x9835E536	U+2A64A	𪙊
0x9835E537	U+2A64B	𪙋
0x9835E538	U+2A64C	𪙌
0x9835E539	U+2A64D	𪙍
0x9835E630	U+2A64E	𪙎
0x9835E631	U+2A64F	𪙏
0x9835E633	U+2A651	𪙑
0x9835E634	U+2A652	𪙒
0x9835E637	U+2A655	𪙕
0x9835E730	U+2A658	𪙘
0x9835E731	U+2A659	𪙙
0x9835E732	U+2A65A	𪙚
0x9835E733	U+2A65B	𪙛
0x9835E734	U+2A65C	𪙜
0x9835E735	U+2A65D	𪙝
0x9835E736	U+2A65E	𪙞
0x9835E737	U+2A65F	𪙟
0x9835E739	U+2A661	𪙡
0x9835E830	U+2A662	𪙢
0x9835E831	U+2A663	𪙣
0x9835E833	U+2A665	𪙥
0x9835E834	U+2A666	𪙦
0x9835E835	U+2A667	𪙧
0x9835E836	U+2A668	𪙨
0x9835E837	U+2A669	𪙩
0x9835E839	U+2A66B	𪙫
0x9835E931	U+2A66D	𪙭
0x9835E932	U+2A66E	𪙮
0x9835E934	U+2A670	𪙰
0x9835E937	U+2A673	𪙳
0x9835E938	U+2A674	𪙴
0x9835E939	U+2A675	𪙵
0x9835EA31	U+2A677	𪙷
0x9835EA32	U+2A678	𪙸
0x9835EA33	U+2A679	𪙹
0x9835EA34	U+2A67A	𪙺
0x9835EA35	U+2A67B	𪙻
0x9835EA37	U+2A67D	𪙽
0x9835EA38	U+2A67E	𪙾
0x9835EA39	U+2A67F	𪙿
0x9835EB32	U+2A682	𪚂
0x9835EB33	U+2A683	𪚃
0x9835EB34	U+2A684	𪚄
0x9835EB35	U+2A685	𪚅
0x9835EB37	U+2A687	𪚇
0x9835EB38	U+2A688	𪚈
0x9835EB39	U+2A689	𪚉
