G2-2043	塃
G2-2044	㙘
G2-2045	堨
G2-2046	㙐
G2-2047	塅
G2-2048	堭
G2-2049	塠
G2-2050	堫
G2-2051	塆
G2-2052	𪣻
G2-2053	𡍷
G2-2054	塈
G2-2055	堳
G2-2056	堥
G2-2057	塨
G2-2058	⿰土监
G2-2059	堽
G2-2060	塮
G2-2061	塕
G2-2062	塳
G2-2063	塙
G2-2064	墎
G2-2065	塉
G2-2066	㙚
G2-2067	㙙
G2-2068	塎
G2-2069	㙟
G2-2070	塓
G2-2071	墈
G2-2072	墐
G2-2073	墘
G2-2074	墄
G2-2075	塴
G2-2076	㙦
G2-2077	墌
G2-2078	墇
G2-2079	朅
G2-2080	㙪
G2-2081	墣
G2-2082	䵺
G2-2083	⿰土遗
G2-2084	墺
G2-2085	墦
G2-2086	墥
G2-2087	墡
G2-2088	㙱
G2-2089	墽
G2-2090	壂
G2-2091	壖
G2-2092	㙷
G2-2093	㚂
G2-2094	毐
G2-2101	壴
G2-2102	壸
G2-2103	嚭
G2-2104	弆
G2-2105	𢍁
G2-2106	弇
G2-2107	夽
G2-2108	奀
G2-2109	奆
G2-2110	㚒
G2-2111	夿
G2-2112	㚗
G2-2113	奃
G2-2114	奅
G2-2115	⿰大鸟
G2-2116	㚔
G2-2117	⿱大岁
G2-2118	㚛
G2-2119	奓
G2-2120	㚜
G2-2121	奞
G2-2122	奟
G2-2123	奝
G2-2124	奤
G2-2125	綔
G2-2126	㚠
G2-2127	奦
G2-2128	奭
G2-2129	奫
G2-2130	奰
G2-2131	尪
G2-2132	㝽
G2-2133	㝾
G2-2134	尯
G2-2135	豗
G2-2136	㞂
G2-2137	㞄
G2-2138	㞇
G2-2139	㞉
G2-2140	㞈
G2-2141	𥚋
G2-2142	刌
G2-2143	尃
G2-2144	⿱弋贝
G2-2145	㢥
G2-2146	㢦
G2-2147	⿰口万
G2-2148	㕨
G2-2149	吂
G2-2150	吔
G2-2151	⿰口韦
G2-2152	吥
G2-2153	吰
G2-2154	𪠳
G2-2155	肙
G2-2156	𠯟
G2-2157	吽
G2-2158	㕭
G2-2159	吪
G2-2160	⿰口从
G2-2161	㕮
G2-2162	呁
G2-2163	吺
G2-2164	呅
