UCS	GB/T 2312	注释
00A4	0148
00A7	014C
00A8	0107
00B0	0143
00B1	0120
00B7	0104
00D7	0121
00E0	0804
00E1	0802
00E8	0808
00E9	0806
00EA	081A
00EC	080C
00ED	080A
00F2	0810
00F3	080E
00F7	0122
00F9	0814
00FA	0812
00FC	0819
0101	0801
0113	0805
011B	0807
012B	0809
014D	080D
016B	0811
01CE	0803
01D0	080B
01D2	080F
01D4	0813
01D6	0815
01D8	0816
01DA	0817
01DC	0818
02C7	0106
02C9	0105
0391	0601
0392	0602
0393	0603
0394	0604
0395	0605
0396	0606
0397	0607
0398	0608
0399	0609
039A	060A
039B	060B
039C	060C
039D	060D
039E	060E
039F	060F
03A0	0610
03A1	0611
03A3	0612
03A4	0613
03A5	0614
03A6	0615
03A7	0616
03A8	0617
03A9	0618
03B1	0621
03B2	0622
03B3	0623
03B4	0624
03B5	0625
03B6	0626
03B7	0627
03B8	0628
03B9	0629
03BA	062A
03BB	062B
03BC	062C
03BD	062D
03BE	062E
03BF	062F
03C0	0630
03C1	0631
03C3	0632
03C4	0633
03C5	0634
03C6	0635
03C7	0636
03C8	0637
03C9	0638
0401	0707
0410	0701
0411	0702
0412	0703
0413	0704
0414	0705
0415	0706
0416	0708
0417	0709
0418	070A
0419	070B
041A	070C
041B	070D
041C	070E
041D	070F
041E	0710
041F	0711
0420	0712
0421	0713
0422	0714
0423	0715
0424	0716
0425	0717
0426	0718
0427	0719
0428	071A
0429	071B
042A	071C
042B	071D
042C	071E
042D	071F
042E	0720
042F	0721
0430	0731
0431	0732
0432	0733
0433	0734
0434	0735
0435	0736
0436	0738
0437	0739
0438	073A
0439	073B
043A	073C
043B	073D
043C	073E
043D	073F
043E	0740
043F	0741
0440	0742
0441	0743
0442	0744
0443	0745
0444	0746
0445	0747
0446	0748
0447	0749
0448	074A
0449	074B
044A	074C
044B	074D
044C	074E
044D	074F
044E	0750
044F	0751
0451	0737
2014	010A
2016	010C
2018	010E
2019	010F
201C	0110
201D	0111
2026	010D
2030	014B
2032	0144
2033	0145
203B	0159
2103	0146
2116	014D
2160	0251
2161	0252
2162	0253
2163	0254
2164	0255
2165	0256
2166	0257
2167	0258
2168	0259
2169	025A
216A	025B
216B	025C
2190	015B
2191	015C
2192	015A
2193	015D
2208	012A
220F	0127
2211	0126
221A	012C
221D	0138
221E	013E
2220	012F
2225	012E
2227	0124
2228	0125
2229	0129
222A	0128
222B	0132
222E	0133
2234	0140
2235	013F
2236	0123
2237	012B
223D	0137
2248	0136
224C	0135
2260	0139
2261	0134
2264	013C
2265	013D
226E	013A
226F	013B
2299	0131
22A5	012D
2312	0130
2460	0239
2461	023A
2462	023B
2463	023C
2464	023D
2465	023E
2466	023F
2467	0240
2468	0241
2469	0242
2474	0225
2475	0226
2476	0227
2477	0228
2478	0229
2479	022A
247A	022B
247B	022C
247C	022D
247D	022E
247E	022F
247F	0230
2480	0231
2481	0232
2482	0233
2483	0234
2484	0235
2485	0236
2486	0237
2487	0238
2488	0211
2489	0212
248A	0213
248B	0214
248C	0215
248D	0216
248E	0217
248F	0218
2490	0219
2491	021A
2492	021B
2493	021C
2494	021D
2495	021E
2496	021F
2497	0220
2498	0221
2499	0222
249A	0223
249B	0224
2500	0904
2501	0905
2502	0906
2503	0907
2504	0908
2505	0909
2506	090A
2507	090B
2508	090C
2509	090D
250A	090E
250B	090F
250C	0910
250D	0911
250E	0912
250F	0913
2510	0914
2511	0915
2512	0916
2513	0917
2514	0918
2515	0919
2516	091A
2517	091B
2518	091C
2519	091D
251A	091E
251B	091F
251C	0920
251D	0921
251E	0922
251F	0923
2520	0924
2521	0925
2522	0926
2523	0927
2524	0928
2525	0929
2526	092A
2527	092B
2528	092C
2529	092D
252A	092E
252B	092F
252C	0930
252D	0931
252E	0932
252F	0933
2530	0934
2531	0935
2532	0936
2533	0937
2534	0938
2535	0939
2536	093A
2537	093B
2538	093C
2539	093D
253A	093E
253B	093F
253C	0940
253D	0941
253E	0942
253F	0943
2540	0944
2541	0945
2542	0946
2543	0947
2544	0948
2545	0949
2546	094A
2547	094B
2548	094C
2549	094D
254A	094E
254B	094F
25A0	0156
25A1	0155
25B2	0158
25B3	0157
25C6	0154
25C7	0153
25CB	0150
25CE	0152
25CF	0151
2605	014F
2606	014E
2640	0142
2642	0141
3000	0101
3001	0102
3002	0103
3003	0108
3005	0109
3008	0114
3009	0115
300A	0116
300B	0117
300C	0118
300D	0119
300E	011A
300F	011B
3010	011E
3011	011F
3013	015E
3014	0112
3015	0113
3016	011C
3017	011D
3041	0401
3042	0402
3043	0403
3044	0404
3045	0405
3046	0406
3047	0407
3048	0408
3049	0409
304A	040A
304B	040B
304C	040C
304D	040D
304E	040E
304F	040F
3050	0410
3051	0411
3052	0412
3053	0413
3054	0414
3055	0415
3056	0416
3057	0417
3058	0418
3059	0419
305A	041A
305B	041B
305C	041C
305D	041D
305E	041E
305F	041F
3060	0420
3061	0421
3062	0422
3063	0423
3064	0424
3065	0425
3066	0426
3067	0427
3068	0428
3069	0429
306A	042A
306B	042B
306C	042C
306D	042D
306E	042E
306F	042F
3070	0430
3071	0431
3072	0432
3073	0433
3074	0434
3075	0435
3076	0436
3077	0437
3078	0438
3079	0439
307A	043A
307B	043B
307C	043C
307D	043D
307E	043E
307F	043F
3080	0440
3081	0441
3082	0442
3083	0443
3084	0444
3085	0445
3086	0446
3087	0447
3088	0448
3089	0449
308A	044A
308B	044B
308C	044C
308D	044D
308E	044E
308F	044F
3090	0450
3091	0451
3092	0452
3093	0453
30A1	0501
30A2	0502
30A3	0503
30A4	0504
30A5	0505
30A6	0506
30A7	0507
30A8	0508
30A9	0509
30AA	050A
30AB	050B
30AC	050C
30AD	050D
30AE	050E
30AF	050F
30B0	0510
30B1	0511
30B2	0512
30B3	0513
30B4	0514
30B5	0515
30B6	0516
30B7	0517
30B8	0518
30B9	0519
30BA	051A
30BB	051B
30BC	051C
30BD	051D
30BE	051E
30BF	051F
30C0	0520
30C1	0521
30C2	0522
30C3	0523
30C4	0524
30C5	0525
30C6	0526
30C7	0527
30C8	0528
30C9	0529
30CA	052A
30CB	052B
30CC	052C
30CD	052D
30CE	052E
30CF	052F
30D0	0530
30D1	0531
30D2	0532
30D3	0533
30D4	0534
30D5	0535
30D6	0536
30D7	0537
30D8	0538
30D9	0539
30DA	053A
30DB	053B
30DC	053C
30DD	053D
30DE	053E
30DF	053F
30E0	0540
30E1	0541
30E2	0542
30E3	0543
30E4	0544
30E5	0545
30E6	0546
30E7	0547
30E8	0548
30E9	0549
30EA	054A
30EB	054B
30EC	054C
30ED	054D
30EE	054E
30EF	054F
30F0	0550
30F1	0551
30F2	0552
30F3	0553
30F4	0554
30F5	0555
30F6	0556
3105	0825
3106	0826
3107	0827
3108	0828
3109	0829
310A	082A
310B	082B
310C	082C
310D	082D
310E	082E
310F	082F
3110	0830
3111	0831
3112	0832
3113	0833
3114	0834
3115	0835
3116	0836
3117	0837
3118	0838
3119	0839
311A	083A
311B	083B
311C	083C
311D	083D
311E	083E
311F	083F
3120	0840
3121	0841
3122	0842
3123	0843
3124	0844
3125	0845
3126	0846
3127	0847
3128	0848
3129	0849
3220	0245
3221	0246
3222	0247
3223	0248
3224	0249
3225	024A
3226	024B
3227	024C
3228	024D
3229	024E
