序号	字符	笔画数	注释
3552	邙	5
0304	玄	5
0305	闪	5
0306	兰	5
0307	半	5
0308	汁	5
3553	汀	5
0309	汇	5
0310	头	5
6515	氿	5
6516	汈	5
0311	汉	5
6517	氾	5
6518	忉	5
0312	宁	5
0313	穴	5
0314	它	5
6519	宄	5
3554	讦	5
6520	𬣙	5
3555	讧	5
0315	讨	5
0316	写	5
0317	让	5
0318	礼	5
3556	讪	5
3557	讫	5
0319	训	5
0320	议	5
0321	必	5
0322	讯	5
0323	记	5
0324	永	5
6521	讱	5
0325	司	5
0326	尼	5
3558	尻	5
0327	民	5
0328	弗	5
0329	弘	5
0330	出	5
3559	阡	5
0331	辽	5
0332	奶	5
0333	奴	5
3560	尕	5
0334	召	5
0335	加	5
0336	皮	5
0337	边	5
0338	孕	5
0339	发	5
0340	圣	5
0341	对	5
3561	弁	5
0342	台	5
0343	矛	5
0344	纠	5
3562	驭	5
0345	母	5
0346	幼	5
0347	丝	5
3563	匡	6
3564	耒	6
0348	邦	6
3565	玎	6
3566	玑	6
0349	式	6
0350	迂	6
0351	刑	6
3567	邢	6
0352	戎	6
0353	动	6
3568	圩	6
6522	扞	6
3569	圬	6
3570	圭	6
0354	扛	6
0355	寺	6
0356	吉	6
0357	扣	6
6523	圲	6
3571	扦	6
0358	考	6
6524	圫	6
3572	圪	6
0359	托	6
3573	圳	6
0360	老	6
0361	巩	6
0362	圾	6
0363	执	6
3574	圹	6
0364	扩	6
3575	扪	6
0365	扫	6
3576	圮	6
3577	圯	6
0366	地	6
0367	场	6
0368	扬	6
0369	耳	6
0370	芋	6
6525	芏	6
0371	共	6
3578	芊	6
3579	芍	6
6526	芃	6
3580	芄	6
3581	芨	6
0372	芒	6
0373	亚	6
0374	芝	6
3582	芑	6
3583	芎	6
3584	芗	6
0375	朽	6
0376	朴	6
6527	朳	6
0377	机	6
6528	朸	6
0378	权	6
0379	过	6
3585	亘	6
0380	臣	6
0381	吏	6
0382	再	6
0383	协	6
0384	西	6
6529	𨙸	6
0385	压	6
0386	厌	6
3586	厍	6
0387	戌	6
0388	在	6
0389	百	6
0390	有	6
0391	存	6
0392	而	6
0393	页	6
0394	匠	6
0395	夸	6
0396	夺	6
3587	夼	6
0397	灰	6
0398	达	6
3588	戍	6
3589	尥	6
0399	列	6
0400	死	6
0401	成	6
0402	夹	6
0403	夷	6
0404	轨	6
0405	邪	6
6530	邨	6
0406	尧	6
0407	划	6
0408	迈	6
0409	毕	6
0410	至	6
0411	此	6
3590	乩	6
0412	贞	6
0413	师	6
0414	尘	6
0415	尖	6
0416	劣	6
0417	光	6
0418	当	6
0419	早	6
0420	吁	6
0421	吐	6
0422	吓	6
3591	旯	6
3592	曳	6
0423	虫	6
0424	曲	6
0425	团	6
0426	吕	6
0427	同	6
0428	吊	6
6531	吒	6
0429	吃	6
0430	因	6
0431	吸	6
6532	吖	6
0432	吗	6
0433	吆	6
6533	屼	6
0434	屿	6
6534	屾	6
0435	屹	6
0436	岁	6
3593	岌	6
0437	帆	6
6535	辿	6
0438	回	6
3594	屺	6
0439	岂	6
0440	则	6
0441	刚	6
0442	网	6
0443	肉	6
3595	凼	6
3596	囡	6
6536	钆	6
3597	钇	6
0444	年	6
0445	朱	6
3598	缶	6
3599	氘	6
3600	氖	6
0446	先	6
3601	牝	6
0447	丢	6
0448	廷	6
0449	舌	6
0450	竹	6
0451	迁	6
0452	乔	6
0453	迄	6
0454	伟	6
0455	传	6
0456	乒	6
0457	乓	6
0458	休	6
0459	伍	6
3602	伎	6
0460	伏	6
3603	伛	6
0461	优	6
0462	臼	6
3604	伢	6
0463	伐	6
6537	仳	6
0464	延	6
3605	佤	6
0465	仲	6
6538	伣	6
3606	仵	6
0466	件	6
0467	任	6
0468	伤	6
3607	伥	6
0469	价	6
0470	伦	6
0471	份	6
3608	伧	6
0472	华	6
0473	仰	6
3609	伉	6
0474	仿	6
0475	伙	6
0476	伪	6
3610	伫	6
6539	伈	6
0477	自	6
0478	伊	6
6540	癿	6
0479	血	6
0480	向	6
3611	囟	6
0481	似	6
0482	后	6
0483	行	6
6541	甪	6
0484	舟	6
0485	全	6
0486	会	6
0487	杀	6
0488	合	6
0489	兆	6
0490	企	6
3612	汆	6
0491	众	6
0492	爷	6
0493	伞	6
6542	邠	6
0494	创	6
3613	刖	6
0495	肌	6
0496	肋	6
0497	朵	6
0498	杂	6
3614	夙	6
0499	危	6
0500	旬	6
0501	旨	6
3615	旮	6
0502	旭	6
0503	负	6
6543	犴	6
3616	刎	6
3617	犷	6
0504	匈	6
3618	犸	6
3619	舛	6
0505	名	6
0506	各	6
0507	多	6
3620	凫	6
0508	争	6
3621	邬	6
0509	色	6
3622	饧	6
6544	冱	6
0510	壮	6
0511	冲	6
0512	妆	6
0513	冰	6
0514	庄	6
0515	庆	6
0516	亦	6
0517	刘	6
0518	齐	6
0519	交	6
0520	衣	6
0521	次	6
0522	产	6
0523	决	6
0524	亥	6
6545	邡	6
0525	充	6
0526	妄	6
6546	闫	6
0527	闭	6
0528	问	6
0529	闯	6
0530	羊	6
0531	并	6
0532	关	6
0533	米	6
0534	灯	6
0535	州	6
0536	汗	6
0537	污	6
0538	江	6
6547	𬇕	6
3623	汕	6
3624	汔	6
3625	汐	6
6548	汋	6
3626	汲	6
0539	汛	6
3627	汜	6
0540	池	6
0541	汝	6
0542	汤	6
3628	汊	6
3629	忖	6
3630	忏	6
0543	忙	6
0544	兴	6
0545	宇	6
0546	守	6
0547	宅	6
0548	字	6
0549	安	6
0550	讲	6
0551	讳	6
3631	讴	6
0552	军	6
3632	讵	6
0553	讶	6
3633	祁	6
3634	讷	6
0554	许	6
0555	讹	6
6549	䜣	6
0556	论	6
6550	讻	6
0557	讼	6
0558	农	6
0559	讽	6
0560	设	6
0561	访	6
6551	𬣞	6
0562	诀	6
3635	聿	6
0563	寻	6
0564	那	6
3636	艮	6
3637	厾	6
0565	迅	6
0566	尽	6
0567	导	6
0568	异	6
0569	弛	6
3638	阱	6
3639	阮	6
0570	孙	6
0571	阵	6
6552	孖	6
0572	阳	6
0573	收	6
3640	阪	6
0574	阶	6
0575	阴	6
0576	防	6
3641	丞	6
0577	奸	6
0578	如	6
3642	妁	6
0579	妇	6
0580	妃	6
0581	好	6
