兼容字	SVS 表示	兼容字对应码点	SVS 码点
堲	堲︀	U+2F856	U+5832 U+FE00
報	報︀	U+2F857	U+5831 U+FE00
墬	墬︀	U+2F858	U+58AC U+FE00
𡓤	𡓤︀	U+2F859	U+214E4 U+FE00
売	売︀	U+2F85A	U+58F2 U+FE00
壷	壷︀	U+2F85B	U+58F7 U+FE00
夆	夆︀	U+2F85C	U+5906 U+FE00
多	多︀	U+2F85D	U+591A U+FE00
夢	夢︀	U+2F85E	U+5922 U+FE00
奢	奢︀	U+2F85F	U+5962 U+FE00
𡚨	𡚨︀	U+2F860	U+216A8 U+FE00
𡛪	𡛪︀	U+2F861	U+216EA U+FE00
姬	姬︀	U+2F862	U+59EC U+FE00
娛	娛︀	U+2F863	U+5A1B U+FE00
娧	娧︀	U+2F864	U+5A27 U+FE00
姘	姘︀	U+2F865	U+59D8 U+FE00
婦	婦︀	U+2F866	U+5A66 U+FE00
㛮	㛮︀	U+2F867	U+36EE U+FE00
㛼	㛼︀	U+2F868	U+36FC U+FE00
嬈	嬈︀	U+2F869	U+5B08 U+FE00
嬾	嬾︀	U+2F86A	U+5B3E U+FE00
嬾	嬾︁	U+2F86B	U+5B3E U+FE01
𡧈	𡧈︀	U+2F86C	U+219C8 U+FE00
寃	寃︀	U+2F86D	U+5BC3 U+FE00
寘	寘︀	U+2F86E	U+5BD8 U+FE00
寧	寧︂	U+2F86F	U+5BE7 U+FE02
寳	寳︀	U+2F870	U+5BF3 U+FE00
𡬘	𡬘︀	U+2F871	U+21B18 U+FE00
寿	寿︀	U+2F872	U+5BFF U+FE00
将	将︀	U+2F873	U+5C06 U+FE00
当	当︀	U+2F874	U+5F53 U+FE00
尢	尢︀	U+2F875	U+5C22 U+FE00
㞁	㞁︀	U+2F876	U+3781 U+FE00
屠	屠︀	U+2F877	U+5C60 U+FE00
屮	屮︁	U+2F878	U+5C6E U+FE01
峀	峀︀	U+2F879	U+5CC0 U+FE00
岍	岍︀	U+2F87A	U+5C8D U+FE00
𡷤	𡷤︀	U+2F87B	U+21DE4 U+FE00
嵃	嵃︀	U+2F87C	U+5D43 U+FE00
𡷦	𡷦︀	U+2F87D	U+21DE6 U+FE00
嵮	嵮︀	U+2F87E	U+5D6E U+FE00
嵫	嵫︀	U+2F87F	U+5D6B U+FE00
嵼	嵼︀	U+2F880	U+5D7C U+FE00
巡	巡︀	U+2F881	U+5DE1 U+FE00
巢	巢︀	U+2F882	U+5DE2 U+FE00
㠯	㠯︀	U+2F883	U+382F U+FE00
巽	巽︀	U+2F884	U+5DFD U+FE00
帨	帨︀	U+2F885	U+5E28 U+FE00
帽	帽︀	U+2F886	U+5E3D U+FE00
幩	幩︀	U+2F887	U+5E69 U+FE00
㡢	㡢︀	U+2F888	U+3862 U+FE00
𢆃	𢆃︀	U+2F889	U+22183 U+FE00
㡼	㡼︀	U+2F88A	U+387C U+FE00
庰	庰︀	U+2F88B	U+5EB0 U+FE00
庳	庳︀	U+2F88C	U+5EB3 U+FE00
庶	庶︀	U+2F88D	U+5EB6 U+FE00
廊	廊︁	U+2F88E	U+5ECA U+FE01
𪎒	𪎒︀	U+2F88F	U+2A392 U+FE00
廾	廾︀	U+2F890	U+5EFE U+FE00
𢌱	𢌱︀	U+2F891	U+22331 U+FE00
𢌱	𢌱︁	U+2F892	U+22331 U+FE01
舁	舁︀	U+2F893	U+8201 U+FE00
弢	弢︀	U+2F894	U+5F22 U+FE00
弢	弢︁	U+2F895	U+5F22 U+FE01
㣇	㣇︀	U+2F896	U+38C7 U+FE00
𣊸	𣊸︀	U+2F897	U+232B8 U+FE00
𦇚	𦇚︀	U+2F898	U+261DA U+FE00
形	形︀	U+2F899	U+5F62 U+FE00
彫	彫︀	U+2F89A	U+5F6B U+FE00
㣣	㣣︀	U+2F89B	U+38E3 U+FE00
徚	徚︀	U+2F89C	U+5F9A U+FE00
忍	忍︀	U+2F89D	U+5FCD U+FE00
志	志︀	U+2F89E	U+5FD7 U+FE00
忹	忹︀	U+2F89F	U+5FF9 U+FE00
悁	悁︀	U+2F8A0	U+6081 U+FE00
㤺	㤺︀	U+2F8A1	U+393A U+FE00
㤜	㤜︀	U+2F8A2	U+391C U+FE00
悔	悔︁	U+2F8A3	U+6094 U+FE01
𢛔	𢛔︀	U+2F8A4	U+226D4 U+FE00
惇	惇︀	U+2F8A5	U+60C7 U+FE00
慈	慈︀	U+2F8A6	U+6148 U+FE00
慌	慌︀	U+2F8A7	U+614C U+FE00
慎	慎︁	U+2F8A8	U+614E U+FE01
慌	慌︁	U+2F8A9	U+614C U+FE01
慺	慺︀	U+2F8AA	U+617A U+FE00
憎	憎︂	U+2F8AB	U+618E U+FE02
憲	憲︀	U+2F8AC	U+61B2 U+FE00
憤	憤︀	U+2F8AD	U+61A4 U+FE00
憯	憯︀	U+2F8AE	U+61AF U+FE00
懞	懞︀	U+2F8AF	U+61DE U+FE00
懲	懲︂	U+2F8B0	U+61F2 U+FE02
懶	懶︁	U+2F8B1	U+61F6 U+FE01
成	成︀	U+2F8B2	U+6210 U+FE00
戛	戛︀	U+2F8B3	U+621B U+FE00
扝	扝︀	U+2F8B4	U+625D U+FE00
抱	抱︀	U+2F8B5	U+62B1 U+FE00
拔	拔︀	U+2F8B6	U+62D4 U+FE00
捐	捐︀	U+2F8B7	U+6350 U+FE00
𢬌	𢬌︀	U+2F8B8	U+22B0C U+FE00
挽	挽︀	U+2F8B9	U+633D U+FE00
拼	拼︀	U+2F8BA	U+62FC U+FE00
捨	捨︀	U+2F8BB	U+6368 U+FE00
掃	掃︀	U+2F8BC	U+6383 U+FE00
揤	揤︀	U+2F8BD	U+63E4 U+FE00
𢯱	𢯱︀	U+2F8BE	U+22BF1 U+FE00
搢	搢︀	U+2F8BF	U+6422 U+FE00
揅	揅︀	U+2F8C0	U+63C5 U+FE00
掩	掩︀	U+2F8C1	U+63A9 U+FE00
㨮	㨮︀	U+2F8C2	U+3A2E U+FE00
摩	摩︀	U+2F8C3	U+6469 U+FE00
摾	摾︀	U+2F8C4	U+647E U+FE00
撝	撝︀	U+2F8C5	U+649D U+FE00
摷	摷︀	U+2F8C6	U+6477 U+FE00
㩬	㩬︀	U+2F8C7	U+3A6C U+FE00
敏	敏︁	U+2F8C8	U+654F U+FE01
敬	敬︀	U+2F8C9	U+656C U+FE00
𣀊	𣀊︀	U+2F8CA	U+2300A U+FE00
旣	旣︀	U+2F8CB	U+65E3 U+FE00
書	書︀	U+2F8CC	U+66F8 U+FE00
晉	晉︀	U+2F8CD	U+6649 U+FE00
㬙	㬙︀	U+2F8CE	U+3B19 U+FE00
暑	暑︁	U+2F8CF	U+6691 U+FE01
㬈	㬈︀	U+2F8D0	U+3B08 U+FE00
㫤	㫤︀	U+2F8D1	U+3AE4 U+FE00
冒	冒︀	U+2F8D2	U+5192 U+FE00
冕	冕︀	U+2F8D3	U+5195 U+FE00
最	最︀	U+2F8D4	U+6700 U+FE00
暜	暜︀	U+2F8D5	U+669C U+FE00
肭	肭︀	U+2F8D6	U+80AD U+FE00
䏙	䏙︀	U+2F8D7	U+43D9 U+FE00
朗	朗︂	U+2F8D8	U+6717 U+FE02
望	望︁	U+2F8D9	U+671B U+FE01
朡	朡︀	U+2F8DA	U+6721 U+FE00
杞	杞︀	U+2F8DB	U+675E U+FE00
杓	杓︀	U+2F8DC	U+6753 U+FE00
𣏃	𣏃︀	U+2F8DD	U+233C3 U+FE00
㭉	㭉︀	U+2F8DE	U+3B49 U+FE00
柺	柺︀	U+2F8DF	U+67FA U+FE00
枅	枅︀	U+2F8E0	U+6785 U+FE00
桒	桒︀	U+2F8E1	U+6852 U+FE00
梅	梅︁	U+2F8E2	U+6885 U+FE01
𣑭	𣑭︀	U+2F8E3	U+2346D U+FE00
梎	梎︀	U+2F8E4	U+688E U+FE00
栟	栟︀	U+2F8E5	U+681F U+FE00
椔	椔︀	U+2F8E6	U+6914 U+FE00
㮝	㮝︁	U+2F8E7	U+3B9D U+FE01
楂	楂︀	U+2F8E8	U+6942 U+FE00
榣	榣︀	U+2F8E9	U+69A3 U+FE00
槪	槪︀	U+2F8EA	U+69EA U+FE00
檨	檨︀	U+2F8EB	U+6AA8 U+FE00
𣚣	𣚣︀	U+2F8EC	U+236A3 U+FE00
櫛	櫛︀	U+2F8ED	U+6ADB U+FE00
㰘	㰘︀	U+2F8EE	U+3C18 U+FE00
次	次︀	U+2F8EF	U+6B21 U+FE00
𣢧	𣢧︀	U+2F8F0	U+238A7 U+FE00
歔	歔︀	U+2F8F1	U+6B54 U+FE00
㱎	㱎︀	U+2F8F2	U+3C4E U+FE00
歲	歲︀	U+2F8F3	U+6B72 U+FE00
殟	殟︀	U+2F8F4	U+6B9F U+FE00
殺	殺︂	U+2F8F5	U+6BBA U+FE02
殻	殻︀	U+2F8F6	U+6BBB U+FE00
𣪍	𣪍︀	U+2F8F7	U+23A8D U+FE00
𡴋	𡴋︀	U+2F8F8	U+21D0B U+FE00
𣫺	𣫺︀	U+2F8F9	U+23AFA U+FE00
汎	汎︀	U+2F8FA	U+6C4E U+FE00
𣲼	𣲼︀	U+2F8FB	U+23CBC U+FE00
沿	沿︀	U+2F8FC	U+6CBF U+FE00
泍	泍︀	U+2F8FD	U+6CCD U+FE00
汧	汧︀	U+2F8FE	U+6C67 U+FE00
洖	洖︀	U+2F8FF	U+6D16 U+FE00
派	派︀	U+2F900	U+6D3E U+FE00
海	海︁	U+2F901	U+6D77 U+FE01
流	流︂	U+2F902	U+6D41 U+FE02
浩	浩︀	U+2F903	U+6D69 U+FE00
浸	浸︀	U+2F904	U+6D78 U+FE00
涅	涅︀	U+2F905	U+6D85 U+FE00
𣴞	𣴞︀	U+2F906	U+23D1E U+FE00
洴	洴︀	U+2F907	U+6D34 U+FE00
港	港︀	U+2F908	U+6E2F U+FE00
湮	湮︀	U+2F909	U+6E6E U+FE00
㴳	㴳︀	U+2F90A	U+3D33 U+FE00
滋	滋︁	U+2F90B	U+6ECB U+FE01
滇	滇︀	U+2F90C	U+6EC7 U+FE00
𣻑	𣻑︀	U+2F90D	U+23ED1 U+FE00
淹	淹︀	U+2F90E	U+6DF9 U+FE00
潮	潮︀	U+2F90F	U+6F6E U+FE00
𣽞	𣽞︀	U+2F910	U+23F5E U+FE00
𣾎	𣾎︀	U+2F911	U+23F8E U+FE00
濆	濆︀	U+2F912	U+6FC6 U+FE00
瀹	瀹︀	U+2F913	U+7039 U+FE00
瀞	瀞︁	U+2F914	U+701E U+FE01
瀛	瀛︀	U+2F915	U+701B U+FE00
㶖	㶖︀	U+2F916	U+3D96 U+FE00
灊	灊︀	U+2F917	U+704A U+FE00
災	災︀	U+2F918	U+707D U+FE00
灷	灷︀	U+2F919	U+7077 U+FE00
炭	炭︀	U+2F91A	U+70AD U+FE00
𠔥	𠔥︀	U+2F91B	U+20525 U+FE00
煅	煅︀	U+2F91C	U+7145 U+FE00
𤉣	𤉣︀	U+2F91D	U+24263 U+FE00
熜	熜︀	U+2F91E	U+719C U+FE00
𤎫	𤎫︀	U+2F91F	U+243AB U+FE00
爨	爨︀	U+2F920	U+7228 U+FE00
爵	爵︁	U+2F921	U+7235 U+FE01
牐	牐︀	U+2F922	U+7250 U+FE00
𤘈	𤘈︀	U+2F923	U+24608 U+FE00
犀	犀︀	U+2F924	U+7280 U+FE00
犕	犕︀	U+2F925	U+7295 U+FE00
𤜵	𤜵︀	U+2F926	U+24735 U+FE00
𤠔	𤠔︀	U+2F927	U+24814 U+FE00
獺	獺︀	U+2F928	U+737A U+FE00
王	王︀	U+2F929	U+738B U+FE00
㺬	㺬︀	U+2F92A	U+3EAC U+FE00
玥	玥︀	U+2F92B	U+73A5 U+FE00
㺸	㺸︀	U+2F92C	U+3EB8 U+FE00
㺸	㺸︁	U+2F92D	U+3EB8 U+FE01
瑇	瑇︀	U+2F92E	U+7447 U+FE00
瑜	瑜︀	U+2F92F	U+745C U+FE00
瑱	瑱︁	U+2F930	U+7471 U+FE01
璅	璅︀	U+2F931	U+7485 U+FE00
瓊	瓊︀	U+2F932	U+74CA U+FE00
㼛	㼛︀	U+2F933	U+3F1B U+FE00
甤	甤︀	U+2F934	U+7524 U+FE00
𤰶	𤰶︀	U+2F935	U+24C36 U+FE00
甾	甾︀	U+2F936	U+753E U+FE00
𤲒	𤲒︀	U+2F937	U+24C92 U+FE00
異	異︁	U+2F938	U+7570 U+FE01
𢆟	𢆟︀	U+2F939	U+2219F U+FE00
瘐	瘐︀	U+2F93A	U+7610 U+FE00
𤾡	𤾡︀	U+2F93B	U+24FA1 U+FE00
𤾸	𤾸︀	U+2F93C	U+24FB8 U+FE00
𥁄	𥁄︀	U+2F93D	U+25044 U+FE00
㿼	㿼︀	U+2F93E	U+3FFC U+FE00
䀈	䀈︀	U+2F93F	U+4008 U+FE00
直	直︁	U+2F940	U+76F4 U+FE01
𥃳	𥃳︀	U+2F941	U+250F3 U+FE00
𥃲	𥃲︀	U+2F942	U+250F2 U+FE00
𥄙	𥄙︀	U+2F943	U+25119 U+FE00
𥄳	𥄳︀	U+2F944	U+25133 U+FE00
眞	眞︀	U+2F945	U+771E U+FE00
真	真︀	U+2F946	U+771F U+FE00
真	真︁	U+2F947	U+771F U+FE01
睊	睊︁	U+2F948	U+774A U+FE01
䀹	䀹︁	U+2F949	U+4039 U+FE01
瞋	瞋︀	U+2F94A	U+778B U+FE00
䁆	䁆︀	U+2F94B	U+4046 U+FE00
䂖	䂖︀	U+2F94C	U+4096 U+FE00
𥐝	𥐝︀	U+2F94D	U+2541D U+FE00
硎	硎︀	U+2F94E	U+784E U+FE00
碌	碌︁	U+2F94F	U+788C U+FE01
磌	磌︁	U+2F950	U+78CC U+FE01
䃣	䃣︀	U+2F951	U+40E3 U+FE00
𥘦	𥘦︀	U+2F952	U+25626 U+FE00
祖	祖︁	U+2F953	U+7956 U+FE01
𥚚	𥚚︀	U+2F954	U+2569A U+FE00
𥛅	𥛅︀	U+2F955	U+256C5 U+FE00
福	福︁	U+2F956	U+798F U+FE01
秫	秫︀	U+2F957	U+79EB U+FE00
䄯	䄯︀	U+2F958	U+412F U+FE00
穀	穀︁	U+2F959	U+7A40 U+FE01
穊	穊︀	U+2F95A	U+7A4A U+FE00
穏	穏︀	U+2F95B	U+7A4F U+FE00
𥥼	𥥼︀	U+2F95C	U+2597C U+FE00
𥪧	𥪧︀	U+2F95D	U+25AA7 U+FE00
𥪧	𥪧︁	U+2F95E	U+25AA7 U+FE01
竮	竮︀	U+2F95F	U+7AEE U+FE00
䈂	䈂︀	U+2F960	U+4202 U+FE00
𥮫	𥮫︀	U+2F961	U+25BAB U+FE00
篆	篆︀	U+2F962	U+7BC6 U+FE00
築	築︀	U+2F963	U+7BC9 U+FE00
䈧	䈧︀	U+2F964	U+4227 U+FE00
𥲀	𥲀︀	U+2F965	U+25C80 U+FE00
糒	糒︀	U+2F966	U+7CD2 U+FE00
䊠	䊠︀	U+2F967	U+42A0 U+FE00
糨	糨︀	U+2F968	U+7CE8 U+FE00
糣	糣︀	U+2F969	U+7CE3 U+FE00
紀	紀︀	U+2F96A	U+7D00 U+FE00
𥾆	𥾆︀	U+2F96B	U+25F86 U+FE00
絣	絣︀	U+2F96C	U+7D63 U+FE00
䌁	䌁︀	U+2F96D	U+4301 U+FE00
緇	緇︀	U+2F96E	U+7DC7 U+FE00
縂	縂︀	U+2F96F	U+7E02 U+FE00
繅	繅︀	U+2F970	U+7E45 U+FE00
䌴	䌴︀	U+2F971	U+4334 U+FE00
𦈨	𦈨︀	U+2F972	U+26228 U+FE00
𦉇	𦉇︀	U+2F973	U+26247 U+FE00
䍙	䍙︀	U+2F974	U+4359 U+FE00
𦋙	𦋙︀	U+2F975	U+262D9 U+FE00
罺	罺︀	U+2F976	U+7F7A U+FE00
𦌾	𦌾︀	U+2F977	U+2633E U+FE00
羕	羕︀	U+2F978	U+7F95 U+FE00
翺	翺︀	U+2F979	U+7FFA U+FE00
者	者︂	U+2F97A	U+8005 U+FE02
𦓚	𦓚︀	U+2F97B	U+264DA U+FE00
𦔣	𦔣︀	U+2F97C	U+26523 U+FE00
聠	聠︀	U+2F97D	U+8060 U+FE00
𦖨	𦖨︀	U+2F97E	U+265A8 U+FE00
聰	聰︀	U+2F97F	U+8070 U+FE00
𣍟	𣍟︀	U+2F980	U+2335F U+FE00
䏕	䏕︀	U+2F981	U+43D5 U+FE00
育	育︀	U+2F982	U+80B2 U+FE00
脃	脃︀	U+2F983	U+8103 U+FE00
䐋	䐋︀	U+2F984	U+440B U+FE00
脾	脾︀	U+2F985	U+813E U+FE00
媵	媵︀	U+2F986	U+5AB5 U+FE00
𦞧	𦞧︀	U+2F987	U+267A7 U+FE00
𦞵	𦞵︀	U+2F988	U+267B5 U+FE00
𣎓	𣎓︀	U+2F989	U+23393 U+FE00
𣎜	𣎜︀	U+2F98A	U+2339C U+FE00
舁	舁︁	U+2F98B	U+8201 U+FE01
舄	舄︀	U+2F98C	U+8204 U+FE00
辞	辞︀	U+2F98D	U+8F9E U+FE00
䑫	䑫︀	U+2F98E	U+446B U+FE00
芑	芑︀	U+2F98F	U+8291 U+FE00
芋	芋︀	U+2F990	U+828B U+FE00
芝	芝︀	U+2F991	U+829D U+FE00
劳	劳︀	U+2F992	U+52B3 U+FE00
花	花︀	U+2F993	U+82B1 U+FE00
芳	芳︀	U+2F994	U+82B3 U+FE00
芽	芽︀	U+2F995	U+82BD U+FE00
苦	苦︀	U+2F996	U+82E6 U+FE00
𦬼	𦬼︀	U+2F997	U+26B3C U+FE00
若	若︁	U+2F998	U+82E5 U+FE01
茝	茝︀	U+2F999	U+831D U+FE00
荣	荣︀	U+2F99A	U+8363 U+FE00
莭	莭︀	U+2F99B	U+83AD U+FE00
茣	茣︀	U+2F99C	U+8323 U+FE00
莽	莽︀	U+2F99D	U+83BD U+FE00
菧	菧︀	U+2F99E	U+83E7 U+FE00
著	著︁	U+2F99F	U+8457 U+FE01
荓	荓︀	U+2F9A0	U+8353 U+FE00
菊	菊︀	U+2F9A1	U+83CA U+FE00
菌	菌︀	U+2F9A2	U+83CC U+FE00
菜	菜︀	U+2F9A3	U+83DC U+FE00
𦰶	𦰶︀	U+2F9A4	U+26C36 U+FE00
𦵫	𦵫︀	U+2F9A5	U+26D6B U+FE00
𦳕	𦳕︀	U+2F9A6	U+26CD5 U+FE00
䔫	䔫︀	U+2F9A7	U+452B U+FE00
蓱	蓱︀	U+2F9A8	U+84F1 U+FE00
蓳	蓳︀	U+2F9A9	U+84F3 U+FE00
蔖	蔖︀	U+2F9AA	U+8516 U+FE00
𧏊	𧏊︀	U+2F9AB	U+273CA U+FE00
蕤	蕤︀	U+2F9AC	U+8564 U+FE00
𦼬	𦼬︀	U+2F9AD	U+26F2C U+FE00
䕝	䕝︀	U+2F9AE	U+455D U+FE00
䕡	䕡︀	U+2F9AF	U+4561 U+FE00
𦾱	𦾱︀	U+2F9B0	U+26FB1 U+FE00
𧃒	𧃒︀	U+2F9B1	U+270D2 U+FE00
䕫	䕫︀	U+2F9B2	U+456B U+FE00
虐	虐︀	U+2F9B3	U+8650 U+FE00
虜	虜︁	U+2F9B4	U+865C U+FE01
虧	虧︀	U+2F9B5	U+8667 U+FE00
虩	虩︀	U+2F9B6	U+8669 U+FE00
蚩	蚩︀	U+2F9B7	U+86A9 U+FE00
蚈	蚈︀	U+2F9B8	U+8688 U+FE00
蜎	蜎︀	U+2F9B9	U+870E U+FE00
蛢	蛢︀	U+2F9BA	U+86E2 U+FE00
蝹	蝹︁	U+2F9BB	U+8779 U+FE01
蜨	蜨︀	U+2F9BC	U+8728 U+FE00
蝫	蝫︀	U+2F9BD	U+876B U+FE00
螆	螆︀	U+2F9BE	U+8786 U+FE00
䗗	䗗︀	U+2F9BF	U+45D7 U+FE00
蟡	蟡︀	U+2F9C0	U+87E1 U+FE00
蠁	蠁︀	U+2F9C1	U+8801 U+FE00
䗹	䗹︀	U+2F9C2	U+45F9 U+FE00
衠	衠︀	U+2F9C3	U+8860 U+FE00
衣	衣︀	U+2F9C4	U+8863 U+FE00
𧙧	𧙧︀	U+2F9C5	U+27667 U+FE00
裗	裗︀	U+2F9C6	U+88D7 U+FE00
裞	裞︀	U+2F9C7	U+88DE U+FE00
䘵	䘵︀	U+2F9C8	U+4635 U+FE00
裺	裺︀	U+2F9C9	U+88FA U+FE00
㒻	㒻︀	U+2F9CA	U+34BB U+FE00
𧢮	𧢮︀	U+2F9CB	U+278AE U+FE00
𧥦	𧥦︀	U+2F9CC	U+27966 U+FE00
䚾	䚾︀	U+2F9CD	U+46BE U+FE00
䛇	䛇︀	U+2F9CE	U+46C7 U+FE00
誠	誠︀	U+2F9CF	U+8AA0 U+FE00
諭	諭︁	U+2F9D0	U+8AED U+FE01
變	變︁	U+2F9D1	U+8B8A U+FE01
豕	豕︀	U+2F9D2	U+8C55 U+FE00
𧲨	𧲨︀	U+2F9D3	U+27CA8 U+FE00
貫	貫︀	U+2F9D4	U+8CAB U+FE00
賁	賁︀	U+2F9D5	U+8CC1 U+FE00
贛	贛︀	U+2F9D6	U+8D1B U+FE00
起	起︀	U+2F9D7	U+8D77 U+FE00
𧼯	𧼯︀	U+2F9D8	U+27F2F U+FE00
𠠄	𠠄︀	U+2F9D9	U+20804 U+FE00
跋	跋︀	U+2F9DA	U+8DCB U+FE00
趼	趼︀	U+2F9DB	U+8DBC U+FE00
跰	跰︀	U+2F9DC	U+8DF0 U+FE00
𠣞	𠣞︀	U+2F9DD	U+208DE U+FE00
軔	軔︀	U+2F9DE	U+8ED4 U+FE00
輸	輸︁	U+2F9DF	U+8F38 U+FE01
𨗒	𨗒︀	U+2F9E0	U+285D2 U+FE00
𨗭	𨗭︀	U+2F9E1	U+285ED U+FE00
邔	邔︀	U+2F9E2	U+9094 U+FE00
郱	郱︀	U+2F9E3	U+90F1 U+FE00
鄑	鄑︀	U+2F9E4	U+9111 U+FE00
𨜮	𨜮︀	U+2F9E5	U+2872E U+FE00
鄛	鄛︀	U+2F9E6	U+911B U+FE00
鈸	鈸︀	U+2F9E7	U+9238 U+FE00
鋗	鋗︀	U+2F9E8	U+92D7 U+FE00
鋘	鋘︀	U+2F9E9	U+92D8 U+FE00
鉼	鉼︀	U+2F9EA	U+927C U+FE00
鏹	鏹︀	U+2F9EB	U+93F9 U+FE00
鐕	鐕︀	U+2F9EC	U+9415 U+FE00
𨯺	𨯺︀	U+2F9ED	U+28BFA U+FE00
開	開︀	U+2F9EE	U+958B U+FE00
䦕	䦕︀	U+2F9EF	U+4995 U+FE00
閷	閷︀	U+2F9F0	U+95B7 U+FE00
𨵷	𨵷︀	U+2F9F1	U+28D77 U+FE00
䧦	䧦︀	U+2F9F2	U+49E6 U+FE00
雃	雃︀	U+2F9F3	U+96C3 U+FE00
嶲	嶲︀	U+2F9F4	U+5DB2 U+FE00
霣	霣︀	U+2F9F5	U+9723 U+FE00
𩅅	𩅅︀	U+2F9F6	U+29145 U+FE00
𩈚	𩈚︀	U+2F9F7	U+2921A U+FE00
䩮	䩮︀	U+2F9F8	U+4A6E U+FE00
䩶	䩶︀	U+2F9F9	U+4A76 U+FE00
韠	韠︀	U+2F9FA	U+97E0 U+FE00
𩐊	𩐊︀	U+2F9FB	U+2940A U+FE00
䪲	䪲︀	U+2F9FC	U+4AB2 U+FE00
𩒖	𩒖︀	U+2F9FD	U+29496 U+FE00
頋	頋︁	U+2F9FE	U+980B U+FE01
頋	頋︂	U+2F9FF	U+980B U+FE02
頩	頩︀	U+2FA00	U+9829 U+FE00
𩖶	𩖶︀	U+2FA01	U+295B6 U+FE00
飢	飢︀	U+2FA02	U+98E2 U+FE00
䬳	䬳︀	U+2FA03	U+4B33 U+FE00
餩	餩︀	U+2FA04	U+9929 U+FE00
馧	馧︀	U+2FA05	U+99A7 U+FE00
駂	駂︀	U+2FA06	U+99C2 U+FE00
駾	駾︀	U+2FA07	U+99FE U+FE00
䯎	䯎︀	U+2FA08	U+4BCE U+FE00
𩬰	𩬰︀	U+2FA09	U+29B30 U+FE00
鬒	鬒︁	U+2FA0A	U+9B12 U+FE01
鱀	鱀︀	U+2FA0B	U+9C40 U+FE00
鳽	鳽︀	U+2FA0C	U+9CFD U+FE00
䳎	䳎︀	U+2FA0D	U+4CCE U+FE00
䳭	䳭︀	U+2FA0E	U+4CED U+FE00
鵧	鵧︀	U+2FA0F	U+9D67 U+FE00
𪃎	𪃎︀	U+2FA10	U+2A0CE U+FE00
䳸	䳸︀	U+2FA11	U+4CF8 U+FE00
𪄅	𪄅︀	U+2FA12	U+2A105 U+FE00
𪈎	𪈎︀	U+2FA13	U+2A20E U+FE00
𪊑	𪊑︀	U+2FA14	U+2A291 U+FE00
麻	麻︀	U+2FA15	U+9EBB U+FE00
䵖	䵖︀	U+2FA16	U+4D56 U+FE00
黹	黹︀	U+2FA17	U+9EF9 U+FE00
黾	黾︀	U+2FA18	U+9EFE U+FE00
鼅	鼅︀	U+2FA19	U+9F05 U+FE00
鼏	鼏︀	U+2FA1A	U+9F0F U+FE00
鼖	鼖︀	U+2FA1B	U+9F16 U+FE00
鼻	鼻︀	U+2FA1C	U+9F3B U+FE00
𪘀	𪘀︀	U+2FA1D	U+2A600 U+FE00
