兼容字	SVS 表示	兼容字对应码点	SVS 码点
呂	呂︀	U+F980	U+5442 U+FE00
女	女︀	U+F981	U+5973 U+FE00
廬	廬︀	U+F982	U+5EEC U+FE00
旅	旅︀	U+F983	U+65C5 U+FE00
濾	濾︀	U+F984	U+6FFE U+FE00
礪	礪︀	U+F985	U+792A U+FE00
閭	閭︀	U+F986	U+95AD U+FE00
驪	驪︀	U+F987	U+9A6A U+FE00
麗	麗︀	U+F988	U+9E97 U+FE00
黎	黎︀	U+F989	U+9ECE U+FE00
力	力︀	U+F98A	U+529B U+FE00
曆	曆︀	U+F98B	U+66C6 U+FE00
歷	歷︀	U+F98C	U+6B77 U+FE00
轢	轢︀	U+F98D	U+8F62 U+FE00
年	年︀	U+F98E	U+5E74 U+FE00
憐	憐︀	U+F98F	U+6190 U+FE00
戀	戀︀	U+F990	U+6200 U+FE00
撚	撚︀	U+F991	U+649A U+FE00
漣	漣︀	U+F992	U+6F23 U+FE00
煉	煉︀	U+F993	U+7149 U+FE00
璉	璉︀	U+F994	U+7489 U+FE00
秊	秊︀	U+F995	U+79CA U+FE00
練	練︀	U+F996	U+7DF4 U+FE00
聯	聯︀	U+F997	U+806F U+FE00
輦	輦︀	U+F998	U+8F26 U+FE00
蓮	蓮︀	U+F999	U+84EE U+FE00
連	連︀	U+F99A	U+9023 U+FE00
鍊	鍊︀	U+F99B	U+934A U+FE00
列	列︀	U+F99C	U+5217 U+FE00
劣	劣︀	U+F99D	U+52A3 U+FE00
咽	咽︀	U+F99E	U+54BD U+FE00
烈	烈︀	U+F99F	U+70C8 U+FE00
裂	裂︀	U+F9A0	U+88C2 U+FE00
說	說︁	U+F9A1	U+8AAA U+FE01
廉	廉︀	U+F9A2	U+5EC9 U+FE00
念	念︀	U+F9A3	U+5FF5 U+FE00
捻	捻︀	U+F9A4	U+637B U+FE00
殮	殮︀	U+F9A5	U+6BAE U+FE00
簾	簾︀	U+F9A6	U+7C3E U+FE00
獵	獵︀	U+F9A7	U+7375 U+FE00
令	令︀	U+F9A8	U+4EE4 U+FE00
囹	囹︀	U+F9A9	U+56F9 U+FE00
寧	寧︁	U+F9AA	U+5BE7 U+FE01
嶺	嶺︀	U+F9AB	U+5DBA U+FE00
怜	怜︀	U+F9AC	U+601C U+FE00
玲	玲︀	U+F9AD	U+73B2 U+FE00
瑩	瑩︀	U+F9AE	U+7469 U+FE00
羚	羚︀	U+F9AF	U+7F9A U+FE00
聆	聆︀	U+F9B0	U+8046 U+FE00
鈴	鈴︀	U+F9B1	U+9234 U+FE00
零	零︀	U+F9B2	U+96F6 U+FE00
靈	靈︀	U+F9B3	U+9748 U+FE00
領	領︀	U+F9B4	U+9818 U+FE00
例	例︀	U+F9B5	U+4F8B U+FE00
禮	禮︀	U+F9B6	U+79AE U+FE00
醴	醴︀	U+F9B7	U+91B4 U+FE00
隸	隸︀	U+F9B8	U+96B8 U+FE00
惡	惡︀	U+F9B9	U+60E1 U+FE00
了	了︀	U+F9BA	U+4E86 U+FE00
僚	僚︀	U+F9BB	U+50DA U+FE00
寮	寮︀	U+F9BC	U+5BEE U+FE00
尿	尿︀	U+F9BD	U+5C3F U+FE00
料	料︀	U+F9BE	U+6599 U+FE00
樂	樂︂	U+F9BF	U+6A02 U+FE02
燎	燎︀	U+F9C0	U+71CE U+FE00
療	療︀	U+F9C1	U+7642 U+FE00
蓼	蓼︀	U+F9C2	U+84FC U+FE00
遼	遼︀	U+F9C3	U+907C U+FE00
龍	龍︀	U+F9C4	U+9F8D U+FE00
暈	暈︀	U+F9C5	U+6688 U+FE00
阮	阮︀	U+F9C6	U+962E U+FE00
劉	劉︀	U+F9C7	U+5289 U+FE00
杻	杻︀	U+F9C8	U+677B U+FE00
柳	柳︀	U+F9C9	U+67F3 U+FE00
流	流︀	U+F9CA	U+6D41 U+FE00
溜	溜︀	U+F9CB	U+6E9C U+FE00
琉	琉︀	U+F9CC	U+7409 U+FE00
留	留︀	U+F9CD	U+7559 U+FE00
硫	硫︀	U+F9CE	U+786B U+FE00
紐	紐︀	U+F9CF	U+7D10 U+FE00
類	類︀	U+F9D0	U+985E U+FE00
六	六︀	U+F9D1	U+516D U+FE00
戮	戮︀	U+F9D2	U+622E U+FE00
陸	陸︀	U+F9D3	U+9678 U+FE00
倫	倫︀	U+F9D4	U+502B U+FE00
崙	崙︀	U+F9D5	U+5D19 U+FE00
淪	淪︀	U+F9D6	U+6DEA U+FE00
輪	輪︀	U+F9D7	U+8F2A U+FE00
律	律︀	U+F9D8	U+5F8B U+FE00
慄	慄︀	U+F9D9	U+6144 U+FE00
栗	栗︀	U+F9DA	U+6817 U+FE00
率	率︁	U+F9DB	U+7387 U+FE01
隆	隆︀	U+F9DC	U+9686 U+FE00
利	利︀	U+F9DD	U+5229 U+FE00
吏	吏︀	U+F9DE	U+540F U+FE00
履	履︀	U+F9DF	U+5C65 U+FE00
易	易︀	U+F9E0	U+6613 U+FE00
李	李︀	U+F9E1	U+674E U+FE00
梨	梨︀	U+F9E2	U+68A8 U+FE00
泥	泥︀	U+F9E3	U+6CE5 U+FE00
理	理︀	U+F9E4	U+7406 U+FE00
痢	痢︀	U+F9E5	U+75E2 U+FE00
罹	罹︀	U+F9E6	U+7F79 U+FE00
裏	裏︀	U+F9E7	U+88CF U+FE00
裡	裡︀	U+F9E8	U+88E1 U+FE00
里	里︀	U+F9E9	U+91CC U+FE00
離	離︀	U+F9EA	U+96E2 U+FE00
匿	匿︀	U+F9EB	U+533F U+FE00
溺	溺︀	U+F9EC	U+6EBA U+FE00
吝	吝︀	U+F9ED	U+541D U+FE00
燐	燐︀	U+F9EE	U+71D0 U+FE00
璘	璘︀	U+F9EF	U+7498 U+FE00
藺	藺︀	U+F9F0	U+85FA U+FE00
隣	隣︀	U+F9F1	U+96A3 U+FE00
鱗	鱗︀	U+F9F2	U+9C57 U+FE00
麟	麟︀	U+F9F3	U+9E9F U+FE00
林	林︀	U+F9F4	U+6797 U+FE00
淋	淋︀	U+F9F5	U+6DCB U+FE00
臨	臨︀	U+F9F6	U+81E8 U+FE00
立	立︀	U+F9F7	U+7ACB U+FE00
笠	笠︀	U+F9F8	U+7B20 U+FE00
粒	粒︀	U+F9F9	U+7C92 U+FE00
狀	狀︀	U+F9FA	U+72C0 U+FE00
炙	炙︀	U+F9FB	U+7099 U+FE00
